|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |1|000-001|ФМС РОССИИ| |
 |2|000-455|ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, РАЗРЕШЕНИЙ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИГ УФМС РОССИИ ПО САМАРСКОЙ ОБЛ.| |
 |3|010-001|ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В Г. МАЙКОПЕ| |
 |4|010-002|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В МАЙКОПСКОМ Р-НЕ|17.06.2013|
 |5|010-002|ОФМС России по республике Адыгея в п. Тульский| |
 |6|010-003|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ТАХТАМУКАЙСКОМ Р-НЕ|17.06.2013|
 |7|010-003|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ| |
 |8|010-004|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ Р-НЕ|31.05.2015|
 |9|010-004|Миграционный пункт ОФМС России по Республике Адыгея в Красногвардейском районе| |
 |10|010-005|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В Г. АДЫГЕЙСКЕ И ТЕУЧЕЖСКОМ Р-НЕ| |
 |11|010-006|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В КОШЕХАБЛЬСКОМ Р-НЕ| |
 |12|010-007|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ГИАГИНСКОМ Р-НЕ|31.05.2015|
 |13|010-007|Миграционный пункт ОФМС России по Республике Адыгея в Гиагинском районе| |
 |14|010-008|ТП В ПГТ ЯБЛОНОВСКОМ ОТДЕЛЕНИЯ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ТАХТАМУКАЙСКОМ Р-НЕ|17.06.2013|
 |15|010-008|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ПГТ ЯБЛОНОВСКОМ|31.05.2015|
 |16|010-009|ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ШОВГЕНОВСКОМ Р-НЕ| |
 |17|010-010|ОТДЕЛ ПО ВОПРОСАМ ВНЕШНЕЙ ТРУДОВОЙ МИГРАЦИИ, ОФОРМЛЕНИЯ ВИЗ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ| |
 |18|010-011|ОТДЕЛ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ, ПО ВОПРОСАМ ГРАЖДАНСТВА, БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ| |
 |19|010-101|ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ| |
 |20|011-001|МВД РЕСПУБЛИКИ АДЫГЕЯ| |
 |21|012-001|УВД Г. МАЙКОПА РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |22|012-002|МАЙКОПСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |23|012-003|ТАХТАМУКАЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |24|012-004|КРАСНОГВАРДЕЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |25|012-005|ТЕУЧЕЖСКИЙ ГРОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |26|012-006|КОШЕХАБЛЬСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |27|012-007|ГИАГИНСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |28|012-008|ШОВГЕНОВСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |29|013-001|ЯБЛОНОВСКОЕ ПОМ ТАХТАМУКАЙСКОГО РОВД РЕСПУБЛИКИ АДЫГЕЯ|01.01.2006|
 |30|020-001|УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН| |
 |31|020-002|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ДЕМСКОМ Р-НЕ Г. УФЫ| |
 |32|020-003|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КАЛИНИНСКОМ Р-НЕ Г.УФЫ| |
 |33|020-004|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КИРОВСКОМ Р-НЕ Г. УФЫ| |
 |34|020-005|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЛЕНИНСКОМ Р-НЕ Г. УФЫ| |
 |35|020-006|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ОКТЯБРЬСКОМ Р-НЕ Г. УФЫ| |
 |36|020-007|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ОРДЖОНИКИДЗЕВСКОМ Р-НЕ Г.УФЫ| |
 |37|020-008|ОТДЕЛ УФМC РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В СОВЕТСКОМ Р-НЕ Г. УФЫ| |
 |38|020-009|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. АГИДЕЛЬ| |
 |39|020-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БАЙМАК| |
 |40|020-011|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БЕЛЕБЕЙ| |
 |41|020-012|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БЕЛОРЕЦК| |
 |42|020-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БИРСК| |
 |43|020-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БЛАГОВЕЩЕНСК| |
 |44|020-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДАВЛЕКАНОВО| |
 |45|020-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |46|020-016|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |47|020-016|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |48|020-017|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ИШИМБАЙ| |
